Order,AnimalName,CorrectedAnimalName,Corrected,DTIResolution,SNR,BrainOrientation,GM,WM,log10_GM_,log10_WM_,log10_BrV_,BrVol,TotFib,CC,AC,HC,TotalCommisures,ComRatio,file_prefix
Primates,Marmoset,Marmoset,0,0.26,26.5166222058474,RL,3.44,0.44,3.53655844257153,2.64345267648619,3.58883172559421,3.88,130513,12971,524,1307,14802,11.3413989411017,Marmoset_FF3_allfibers_kperm
Primates,Orangutan1,Orangutan1,0,1.4022,18.8865899357939,LR,271.13,76.83,5.43317757406748,4.88553083318809,5.54152932217149,347.96,41140,6844,1,248,7093,17.2411278561011,Orangutan1_FF3_allfibers_kperm
Primates,Orangutan3,Orangutan3,0,1.3961,19.3392644427079,LR,247.2,141.02,5.39304846641678,5.14928071034102,5.5890779052561,388.22,53233,8604,1,489,9094,17.0833881239081,Orangutan3_FF3_allfibers_kperm
Primates,SquirelMonkey1,squirrelmonkey1,1,0.533,38.2991991807306,RL,24.73,2.3,4.3932241163613,3.36172783601759,4.43184604569873,27.03,65856,10259,971,592,11822,17.9512876579203,SquirrelMonkey1_FF3_allfibers_kperm
Primates,TamarinCottonTop1,TamarinCottonTop1,0,0.36,19.4352417340467,RL,8.54799,1.51898,3.93186400542613,3.18155205566211,4.00289877439724,10.06697,93525,10982,1503,1013,13498,14.4325046778936,TamarinCottonTop1_FF3_allfibers_kperm
Primates,TamarinCottonTop2,TamarinCottonTop2,0,0.36,28.1558244693084,RL,7.7657,0.9411,3.89018060912258,2.97363577341741,3.93985856859021,8.7068,77901,7078,1440,873,9391,12.0550442227956,TamarinCottonTop2_FF3_allfibers_kperm
Primates,TamarinEmperor1,TamarinEmperor1,0,0.36,21.6671118070744,RL,8.0465,1.552,3.90560701561955,3.19089171692217,3.98220336922477,9.5985,88857,11014,986,436,12436,13.9955208931204,TamarinEmperor1_FF3_allfibers_kperm
Primates,TamarinEmperor2,TamarinEmperor2,0,0.34,16.5194970737944,RL,8.42,0.935,3.92531209149965,2.97081161087252,3.97104379183603,9.355,94986,9175,2323,1405,12903,13.5841071315773,TamarinEmperor2_FF3_allfibers_kperm
Primates,TamarinGoldenHands,TamarinGoldenHands,0,0.4,76.6557069253529,RL,8.01133,1.13043,3.9037046214166,3.05324367454961,3.96102981550463,9.14176,62986,5451,0,0,5451,8.65430413107675,TamarinGoldenHands_FF3_allfibers_kperm
Primates,veret,vervet,1,0.7,136.741027685786,RL,34.72,31.04,4.54057971650445,4.49192171258615,4.81796180453199,65.76,71267,9543,465,1725,11733,16.463440301963,Vervet_FF3_allfibers_kperm
